traffic	11.477486171483926
doublelink	8.508592749227352
singlelink	7.3767870171832355
acom	6.9907817841301005
flowdeviation	6.534234494817298
hh	6.455874510708083
flow	6.262927611640602
acobased	5.975465771734998
icton	5.975465771734998
tuc32	5.975465771734998
scaleup	5.975465771734998
llhs	5.858820729127556
llh	5.858820729127556
deviation	5.395132802883201
yaylmh	5.25508759665074
gbps	5.25508759665074
timetest	5.25508759665074
sptest	5.25508759665074
hyperheuristic	5.007906670625619
array	4.889496215224867
vt	4.715787826578506
lightpaths	4.520898568218843
survivable	4.466361750403363
maximum	4.460872567082366
failure	4.4090269760940295
crosslayer	4.404173538148803
fiber	4.404173538148803
hhs	4.404173538148803
hyperheuristics	4.404173538148803
fitness	4.32141256333865
su	4.32141256333865
ru	4.32141256333865
established	4.32141256333865
problem	4.295836866004329
solution	4.295836866004329
yij	4.239771584255636
jrn	4.239771584255636
multiplelink	4.239771584255636
10sec	4.239771584255636
reroute	4.239771584255636
ant	4.216935674228219
minutes	4.143230720252888
design	4.091042453358316
paths	4.067676548824956
approach	3.9444389791664403
topology	3.895369533979148
shortest	3.895369533979148
number	3.8903717578961645
solves	3.800440405671985
lightpath	3.7981096928710376
